title,description,image,price
Кофе в зёрнах BUSHIDO Red Katana,Ароматный и вкусный!,https://ir-3.ozone.ru/s3/multimedia-i/wc1000/6740715138.jpg,576
Docker. Вводный курс. 3-е изд,Книга подробно описывает инструментарий Docker и возможности использования контейнеров для развертывания программного обеспечения. Рассказано об интеграции Docker и контейнеров Linux с облачными сервисами и Kubernetes. Описаны методы сборки образов Open Container Initiative (OCI),https://ir-3.ozone.ru/s3/multimedia-1-q/wc1000/7141848362.jpg,970
Макароны Makfa Спирали Станичные,Уникальная новинка для правильного питания. Настоящий продукт для красоты и здоровья,https://ir-3.ozone.ru/s3/multimedia-1-p/wc1000/7090183993.jpg,42
Батут каркасный EVO JUMP External,Зеленый - В комплекте: Лестница + нижняя сеть,https://ir-3.ozone.ru/s3/multimedia-1-r/wc1000/7107789519.jpg,12873
Баскетбольный щит DFC BOARD44PVC,Щит сделан из ПВХ. Eго размеры составляют 110 x 75 см. Вынос щита 85 см вместе с кольцом.,https://ir-3.ozone.ru/s3/multimedia-3/wc1000/6502218543.jpg,10824
Швейцарские механические наручные часы Tissot PRX,Tissot PRX Powermatic 80 T137.207.11.091.00 представляют собой идеальное сочетание ретро-дизайна и передовых технологий. Вдохновленные эстетикой 70-х годов и переосмысленные с учетом современных стандартов,https://ir-3.ozone.ru/s3/multimedia-1-9/wc1000/7217371917.jpg,90720
Магнитный пауэрбанк 5000 mAh MagSafe Power Bank с быстрой беспроводной зарядкой,Повербанк может одновременно заряжать два гаджета. Один с помощью кабеля - второй по беспроводной технологии QI,https://ir-3.ozone.ru/s3/multimedia-1-i/wc1000/7154716806.jpg,2918
Офисное кресло. Кресло компьютерное, офисное BH.10.03 это идеальное решение для создания комфортного рабочего пространства. Это стильное и функциональное кресло,https://ir-3.ozone.ru/s3/multimedia-1-p/wc1000/7188240517.jpg,6178
ZUOHE Клавиатура ZH870,Способ подключения: трехрежимный Bluetooth USB беспроводной,https://ir-3.ozone.ru/s3/multimedia-1-l/wc1000/7227520653.jpg,9628
Игровой коврик для мыши,Представляем вашему вниманию игровой коврик для мыши "Аниме сакура" размером 900x400x2 мм,https://ir-3.ozone.ru/s3/multimedia-1-q/wc1000/7063982306.jpg,1217
Наушники беспроводные игровые Airpod Max большие,Air max c персонализированным пространственным звуком для создания театрального звучания которое окружает вас,https://ir-3.ozone.ru/s3/multimedia-1-h/wc1000/7312888925.jpg,3083